COD. BARRIO;BARRIO                   ;SEXO;TOTAL
101;SAN IGNACIO              ;HOMBRES;5796
101;SAN IGNACIO              ;MUJERES;6690
102;ELORRIETA                ;HOMBRES;616
102;ELORRIETA                ;MUJERES;676
103;IBARREKOLANDA            ;HOMBRES;4781
103;IBARREKOLANDA            ;MUJERES;5495
104;SAN PEDRO DE DEUSTU      ;HOMBRES;9391
104;SAN PEDRO DE DEUSTU      ;MUJERES;10949
105;LA RIBERA                ;HOMBRES;206
105;LA RIBERA                ;MUJERES;205
106;ARANGOITI                ;HOMBRES;2074
106;ARANGOITI                ;MUJERES;2146
107;DISEMINADO               ;HOMBRES;47
107;DISEMINADO               ;MUJERES;39
201;CASTAÑOS                 ;HOMBRES;2582
201;CASTAÑOS                 ;MUJERES;3151
202;MATIKO                   ;HOMBRES;2441
202;MATIKO                   ;MUJERES;2812
203;CIUDAD JARDIN            ;HOMBRES;326
203;CIUDAD JARDIN            ;MUJERES;313
204;URIBARRI                 ;HOMBRES;6024
204;URIBARRI                 ;MUJERES;6760
205;ZURBARAN                 ;HOMBRES;4507
205;ZURBARAN                 ;MUJERES;5229
206;ARABELLA                 ;HOMBRES;748
206;ARABELLA                 ;MUJERES;834
207;DISEMINADO               ;HOMBRES;157
207;DISEMINADO               ;MUJERES;196
301;OTXARKOAGA               ;HOMBRES;4918
301;OTXARKOAGA               ;MUJERES;5086
302;TXURDINAGA               ;HOMBRES;7546
302;TXURDINAGA               ;MUJERES;8345
303;DISEMINADO               ;HOMBRES;41
303;DISEMINADO               ;MUJERES;51
401;BEGOÑA                   ;HOMBRES;2266
401;BEGOÑA                   ;MUJERES;2531
402;SANTUTXU                 ;HOMBRES;14747
402;SANTUTXU                 ;MUJERES;16801
403;BOLUETA                  ;HOMBRES;2068
403;BOLUETA                  ;MUJERES;2197
501;CASCO VIEJO              ;HOMBRES;3482
501;CASCO VIEJO              ;MUJERES;3907
502;ITURRALDE                ;HOMBRES;2789
502;ITURRALDE                ;MUJERES;3073
503;SOLOKOETXE               ;HOMBRES;2560
503;SOLOKOETXE               ;MUJERES;2812
504;ATXURI                   ;HOMBRES;2614
504;ATXURI                   ;MUJERES;2868
505;LA PEÑA                  ;HOMBRES;3593
505;LA PEÑA                  ;MUJERES;3785
506;BILBAO LA VIEJA          ;HOMBRES;2062
506;BILBAO LA VIEJA          ;MUJERES;2019
507;SAN FRANCISCO            ;HOMBRES;3578
507;SAN FRANCISCO            ;MUJERES;3173
508;ZABALA                   ;HOMBRES;2424
508;ZABALA                   ;MUJERES;2652
509;SAN ADRIAN               ;HOMBRES;2674
509;SAN ADRIAN               ;MUJERES;2926
510;DISEMINADO               ;HOMBRES;135
510;DISEMINADO               ;MUJERES;126
511;MIRIBILLA                ;HOMBRES;4390
511;MIRIBILLA                ;MUJERES;4287
601;ABANDO                   ;HOMBRES;10856
601;ABANDO                   ;MUJERES;13064
602;INDAUTXU                 ;HOMBRES;12193
602;INDAUTXU                 ;MUJERES;15334
701;AMETZOLA                 ;HOMBRES;5503
701;AMETZOLA                 ;MUJERES;6689
702;IRALABARRI               ;HOMBRES;5679
702;IRALABARRI               ;MUJERES;6435
703;ERREKALDEBERRI           ;HOMBRES;7846
703;ERREKALDEBERRI           ;MUJERES;8364
704;LARRASKITU               ;HOMBRES;1436
704;LARRASKITU               ;MUJERES;1432
705;URETAMENDI               ;HOMBRES;1260
705;URETAMENDI               ;MUJERES;1227
706;ITURRIGORRI-PEÑASCAL     ;HOMBRES;955
706;ITURRIGORRI-PEÑASCAL     ;MUJERES;885
707;DISEMINADO               ;HOMBRES;39
707;DISEMINADO               ;MUJERES;29
801;BASURTU                  ;HOMBRES;6468
801;BASURTU                  ;MUJERES;7819
802;OLABEAGA                 ;HOMBRES;595
802;OLABEAGA                 ;MUJERES;614
803;MASUSTEGI-MONTE CARAMELO ;HOMBRES;2034
803;MASUSTEGI-MONTE CARAMELO ;MUJERES;2058
804;ALTAMIRA                 ;HOMBRES;800
804;ALTAMIRA                 ;MUJERES;888
805;ZORROTZA                 ;HOMBRES;5333
805;ZORROTZA                 ;MUJERES;5712
806;DISEMINADO               ;HOMBRES;112
806;DISEMINADO               ;MUJERES;98
;;;345474
